2-Dehydro-3-deoxy-arabino-heptonate-7P	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	130904.54	53110.42	88254.34	120837.41	53047.82	104898.57	117165.6	115530.77	275198.34	95126.09	178918	123442.4	143130.19	104557.3	185590.5	202375.89	155448.5	197698.56	147647.17	181084.67	133514.44	122608.77	106528.1	114637.23	151369.19	224781.3	275491.69	143062.11	176648.88	177688.55	178367.5	277145.66	233503.98	247017.3	130300.93
C13-label-1	6144.21	0	0	5154.7	4338.31	0	0	0	8948.56	0	0	0	6988.27	5572.19	5803.29	7931.04	5161.9	4971.07	0	6503.03	0	5191.72	11387.84	5544.98	6961.25	7328.77	9499.49	5903.53	5850.4	5857.68	15067.92	0	14745.38	6857.58	0
C13-label-2	0	0	0	0	0	0	0	0	7080.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C13-label-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5107.19	0	0	0	0	0	0	0	0	0	0	0	0	5933.39	0	0	0
C13-label-4	4648.42	0	0	0	0	0	5045.17	0	4660.45	0	0	0	0	0	0	0	0	0	0	0	0	4621.8	0	0	0	0	0	7953.95	0	0	0	0	0	0	0
C13-label-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6192.9	0	0	0	0	0	4605.92	0	0	0	0	0	0	7727.7	0	0	8240.25	0	0	0
C13-label-6	124915.38	61282.41	65486.71	83984.04	57249.47	127148.16	99161.78	115854.71	142561.12	82382.73	101394.55	126238.2	116776.98	122800.19	140817.3	122208.79	121418.15	160489.86	145133.2	158183.28	127056.56	151066.75	150686.34	128285.16	139468.83	173030.52	167052.33	171086.31	164779.86	106583.23	178266.42	227331.25	197215.55	155709.22	156752.47
C13-label-7	1358166.38	445471.25	868207.94	893077.44	714990.75	1195202.5	1170979.38	1296109.88	1306745.5	1086513.38	1192390.12	1242197.12	1340894	1285897.62	1474277.88	1575370.12	1536911.88	1697656.62	1432734	1553252	1534953.38	1413027.88	1560324.62	1256057.62	1583138	1879331.62	1628591	1851533.88	1694572.62	1348472.88	1706667.12	1940564.62	1755722.12	1968022.12	1847441.38
																																			
3-Dehydroquinate	O2_A_0	O2_A_1	O2_A_5	O2_A_10	O2_A_15	O2_A_30	O2_A_45	O2_A_60	O2_A_120	O2_B_0	O2_B_1	O2_B_5	O2_B_10	O2_B_15	O2_B_30	O2_B_45	O2_B_60	O2_B_120	O2_C_0	O2_C_1	O2_C_5	O2_C_10	O2_C_15	O2_C_30	O2_C_45	O2_C_60	O2_C_120	An_A_0	An_A_30	An_A_60	An_A_120	An_B_0	An_B_30	An_B_60	An_B_120
C12 PARENT	3386768	4375100	2938183.75	4413692	2085874.62	2830868.75	2471465.25	3916836.75	7066517.5	2633230	6983684	3815830.75	3646254	4097859.25	3652815.25	5276793	5725616	7287437.5	3198796.75	2561235.25	2413146.5	2645462.75	4573017.5	4479650.5	4920240.5	8454697	8613803	2456810	3041445.25	4844478	10863365	5636001.5	4745203.5	4788552.5	7852958.5
C13-label-1	245484.3	345466.16	224525.89	340884.09	159245.19	215390.75	194759.14	291193.09	546723.44	190238.58	521309.91	266897.72	270398.88	314562.78	274314.59	390195.59	399999.53	536106.12	281054.81	190220.44	187120.42	197002.45	343278.66	344900.53	376457.78	627630	664979.69	191585.31	225961.52	384018.03	808436.19	445084.97	369379.88	364484.78	608615.75
C13-label-2	0	2053.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10002.87	0	0	0	0	0	0
