IPP/DMAPP	An_A_0_IPP	An_A_30_IPP	An_A_60_IPP	An_A_120_IPP	An_B_0_IPP	An_B_30_IPP	An_B_60_IPP	An_B_120_IPP	O2_A_0_IPP	O2_A_1_IPP	O2_A_5_IPP	O2_A_15_IPP	O2_A_30_IPP	O2_A_60_IPP	O2_A_120_IPP	O2_B_0_IPP	O2_B_1_IPP	O2_B_5_IPP	O2_B_15_IPP	O2_B_30_IPP	O2_B_60_IPP	O2_B_120_IPP	O2_C_0_IPP	O2_C_1_IPP	O2_C_5_IPP	O2_C_15_IPP	O2_C_30_IPP	O2_C_60_IPP	O2_C_120_IPP
C12 PARENT	655500.19	985265.69	997764.5	1352698.38	718831.31	434858.59	847475.81	951347	666184.56	461918.38	325931.53	555107.44	888263.81	874717.81	1189140.5	648777.19	439413.22	324458	461594.91	903545.25	600535.25	1155868.5	473869	332313.16	199787.05	405347.47	687306	786457.25	903706.75
C13-label-1	36310.03	54983.58	57802.26	81382.98	39310.62	22962.88	48017.66	54484.05	37684.3	25826.79	17285.72	32658.66	53792.59	49083.89	66116.62	38084.02	24152.78	16060.83	25446.39	45750.77	34691.93	65009.96	27056.99	19986.31	12814.02	23693.23	42150.37	42479.2	53382.94
C13-label-3	858.04	738.37	476.25	0	0	0	0	580	0	0	0	0	0	0	592.16	0	0	0	0	593.66	0	0	0	558.46	0	0	471.59	722.87	458.68
C13-label-4	18019.47	16986.37	18254.4	18318.61	19366.26	8034.52	18205.35	16928.97	21376.32	21198.9	24222.77	22121.09	21745.43	19631.58	22327.83	20188.56	23196.3	20006.22	21818.65	22488.1	20172.99	21888.88	18593.11	17446.42	19699.74	18995.85	19718.25	18918.27	20858.49
C13-label-5	373179.34	382832	411708.41	347963.47	378780.5	156726.33	375569.84	363814.75	425834.34	450518.22	451742.28	433375.72	433521.28	414881.09	444606	440739.38	461710.97	473075.91	444595	475024.25	349050.59	394647.34	390268.84	368648	383866.75	383503.16	381640.53	379791	396159.84
																													
HMBPP	An_A_0_IPP	An_A_30_IPP	An_A_60_IPP	An_A_120_IPP	An_B_0_IPP	An_B_30_IPP	An_B_60_IPP	An_B_120_IPP	O2_A_0_IPP	O2_A_1_IPP	O2_A_5_IPP	O2_A_15_IPP	O2_A_30_IPP	O2_A_60_IPP	O2_A_120_IPP	O2_B_0_IPP	O2_B_1_IPP	O2_B_5_IPP	O2_B_15_IPP	O2_B_30_IPP	O2_B_60_IPP	O2_B_120_IPP	O2_C_0_IPP	O2_C_1_IPP	O2_C_5_IPP	O2_C_15_IPP	O2_C_30_IPP	O2_C_60_IPP	O2_C_120_IPP
C12 PARENT	170924.61	219237.25	188291.38	310947.41	173115.88	215324.92	213835.5	256466.06	131590.39	143508.14	382601.53	810520.5	897182.25	279760.12	373611.16	129545.44	143078.12	299457.59	770624	833173.25	302907.09	330100.16	112964.71	147985.2	330777.47	4624.88	789639.56	378723.62	389562.62
C13-label-1	9292.78	12805.72	8848.07	18766.55	9145.06	13311.47	12452.72	13258.4	7800.21	9602.44	20658.55	46598.41	52098.96	17998.97	21291.77	7134.35	7621.32	16607.68	40393.57	47230.44	17574.54	18334.37	5708.98	8036.52	18631.47	0	47500.31	21054.13	21047.43
C13-label-2	0	0	0	0	0	0	0	0	0	0	0	0	0	386.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C13-label-3	4826.51	2777.35	3779.39	3821.06	2611.28	0	4773.87	3518.01	0	2525.8	3033.03	2985.06	2925.27	2490.68	1423.66	2780.41	2949.83	4107.03	1658.24	1824.29	4386.74	2917.82	3827.25	3193.61	5341.58	0	5233.09	3541.53	0
C13-label-4	25803.24	20884.55	25742.82	20609.8	21841.46	19819.56	21747.53	20728.72	26519.77	30943.95	43681.14	36798.08	35957.53	32881.11	24098.3	41954.35	36942.53	45607.15	34089.98	30491.4	33661.3	28279.95	37176.89	24209.2	24121.96	0	26699.07	25653.2	21649.82
C13-label-5	204943.64	194703.56	182322.17	184762.3	195227.17	195716.05	198913.69	195556.2	168735.89	177483.08	171244.19	159909.45	172841.39	175919.92	171768.11	181394.23	176994.05	176074.62	183463.52	184389.06	158105.86	169657.98	171956.59	186660.62	192071.31	716.41	193142.64	203284.62	210791.75
