"An 0"	"An 30"	"An 60"	"An 120"	"O2 0"	"O2 1"	"O2 5"	"O2 10"	"O2 15"	"O2 30"	"O2 45"	"O2 60"	"O2 120"
"2-Dehydro-3-deoxy-arabino-heptonate-7P"	0	0.26741389411826	0.17988281139818	0.311929950923681	0	0.181986791204081	0.153183593398194	0.218036290864064	0.153810340831003	0.180501993548598	0.123656206273031	0.0757346518830412	0.2517193000898
"3-Dehydroquinate"	0	0.223262781339801	0.151873431098374	0.0843947815303128	0	0.332399013086969	0.11153408888401	0.312979388839298	0.179880653746439	0.178900614385057	0.165863254256596	0.126733983455464	0.17090090035397
"3-Dehydroshikimate"	0	0.202305862882591	0.255999142822707	0.113064164023287	0	0.466171070468269	0.227610346084581	0.332226212100633	0.254064465543753	0.162727930070331	0.218857846482072	0.267271667094638	0.258928219610211
"3-Phospho-Glycerate"	0	0.0998443330899426	0.0831016807836241	0.124651297748691	0	0.33397451200138	0.138625537901362	0.166121739162968	0.119785580759318	0.128533212634745	0.108650503385864	0.147780965689909	0.174919928027145
"6-phosphogluconate"	0	0.131503626108619	0.101473404879506	0.191769771174332	0	0.261481793910736	0.138513209476469	0.149098706942892	0.131045367912654	0.156771216335671	0.182246783778035	0.221650962316259	0.174493123321962
"Acetyl Coenzyme A"	0	0.24763323130998	0.237476706060311	0.25826605189414	0	0.364248676577276	0.160207656682654	0.215767360123042	0.139075644754483	0.187872630664135	0.161966631287363	0.19946068621434	0.197320038151396
"Acetyl-Ornithine"	0	0.194465971142328	0.0638612070420453	0.141613444980529	0	0.366439783201999	0.192202342427851	0.271896052382812	0.264726091422717	0.251001609771587	0.204998605910925	0.20561984563912	0.23211977902496
"Aconitate"	0	0.263543754852259	0.393540926050219	0.3197649662944	0	0.416503636389645	0.156487513432431	0.275744244709894	0.230408059975459	0.202447879210097	0.210496378322483	0.234528803354406	0.25196596535243
"ADP"	0	0.492779842977258	0.356851989702219	0.32444684022214	0	0.553635429694512	0.213032985084789	0.237894937596065	0.432211948283501	0.36032006666992	0.276813567993331	0.304541449825338	0.519180670755606
"Alanine"	0	0.21078542318162	0.221472944651754	0.329915300379489	0	0.539479935714255	0.246157031154197	0.384584332141903	0.195721867183719	0.280453045648671	0.344820836223729	0.310036783238389	0.209275605641119
"alpha-ketoglutarate"	0	0.429203930756042	0.246186323534914	0.31388606839663	0	0.283542446065	0.114185345243759	0.310356668708472	0.175611235606893	0.141150455302109	0.150677954730404	0.195984138868637	0.182776431070207
"AMP"	0	0.300419159575668	0.216562172687379	0.372456210171194	0	0.422522257630934	0.210132450244387	0.291539208797159	0.334200041408695	0.326185135855065	0.331225591273486	0.25059251567736	0.41992020966015
"Asparagine"	0	0.198706511292423	0.107692955711206	0.081099537643362	0	0.298913026413745	0.0810102988220196	0.132976661502419	0.119126813555126	0.143851125584045	0.131031890628001	0.145423467299753	0.222129552978104
"Aspartic acid"	0	0.0480719459086981	0.0763154616084063	0.0760603793881602	0	0.237147018037606	0.0887618941397302	0.134197841530368	0.101812834488578	0.124576563411837	0.144890327729021	0.173817324877744	0.084441683641403
